Monat,Zeitraum,Strompreis_EUR_MWh,Erneuerbarenanteil_Prozent,Gaspreis_EUR_MWh,Gaspreis_USD_MMBtu,USD_je_EUR,Last_GW,Stunden
2021-03,2021–2022,47.17,44.13,17.58,6.13,1.189909,60.405,743
2021-04,2021–2022,53.61,45.56,20.37,7.15,1.197910,57.022,720
2021-05,2021–2022,53.35,52.90,25.03,8.91,1.214590,54.080,744
2021-06,2021–2022,74.08,41.97,29.17,10.30,1.204709,54.842,720
2021-07,2021–2022,81.37,43.55,36.11,12.51,1.182182,54.615,744
2021-08,2021–2022,82.70,47.02,44.72,15.43,1.177182,52.955,744
2021-09,2021–2022,128.37,36.46,66.21,22.84,1.177032,54.867,720
2021-10,2021–2022,139.49,45.70,91.32,31.05,1.160148,58.012,745
2021-11,2021–2022,176.15,34.36,82.57,27.62,1.141405,60.965,720
2021-12,2021–2022,221.06,37.31,114.80,38.03,1.130378,60.355,744
2022-01,2021–2022,167.73,44.43,85.22,28.26,1.131448,62.214,744
2022-02,2021–2022,128.80,57.09,81.92,27.23,1.134190,62.973,672
2022-03,2021–2022,252.01,39.78,131.27,42.39,1.101896,59.116,743
2022-04,2021–2022,165.73,50.45,101.56,32.20,1.081874,55.739,720
2022-05,2021–2022,177.48,52.69,94.09,29.17,1.057850,53.603,744
2022-06,2021–2022,218.03,48.89,108.38,33.56,1.056582,51.890,720
2022-07,2021–2022,315.00,46.41,172.07,51.33,1.017890,51.559,744
2022-08,2021–2022,465.18,42.39,235.96,70.04,1.012843,50.334,744
2022-09,2021–2022,346.12,44.16,203.62,59.10,0.990377,51.881,720
2022-10,2021–2022,152.60,49.41,135.50,39.02,0.982567,51.739,745
2022-11,2021–2022,173.63,44.80,119.48,35.72,1.020127,55.243,720
2022-12,2021–2022,251.62,39.68,116.14,36.04,1.058881,54.990,744
2023-01,2023–2025,117.83,50.97,63.94,20.18,1.076900,56.657,744
2023-02,2023–2025,128.31,44.14,52.67,16.54,1.071510,56.753,672
2023-03,2023–2025,102.52,52.16,44.01,13.81,1.070583,55.017,743
2023-04,2023–2025,100.74,54.88,42.06,13.52,1.096772,50.217,720
2023-05,2023–2025,81.71,62.69,31.74,10.11,1.086750,48.822,744
2023-06,2023–2025,94.76,59.56,32.58,10.35,1.083986,49.271,720
2023-07,2023–2025,77.61,65.16,29.47,9.55,1.105814,48.728,744
2023-08,2023–2025,94.32,56.59,35.00,11.19,1.090887,48.800,744
2023-09,2023–2025,100.72,54.20,36.89,11.55,1.068381,49.740,720
2023-10,2023–2025,87.38,57.69,47.07,14.57,1.056255,52.074,745
2023-11,2023–2025,91.12,55.11,45.74,14.49,1.080823,57.071,720
2023-12,2023–2025,68.52,56.95,36.02,11.51,1.090305,55.106,744
2024-01,2023–2025,76.57,55.17,29.91,9.56,1.090514,59.268,744
2024-02,2023–2025,61.34,59.57,25.76,8.15,1.079471,57.409,696
2024-03,2023–2025,64.70,56.96,26.83,8.55,1.087220,54.095,743
2024-04,2023–2025,62.36,64.87,28.91,9.09,1.072776,52.404,720
2024-05,2023–2025,67.21,64.01,31.94,10.12,1.081223,48.365,744
2024-06,2023–2025,72.89,63.31,34.47,10.87,1.075900,49.590,720
2024-07,2023–2025,67.70,63.37,32.57,10.35,1.084409,49.696,744
2024-08,2023–2025,82.05,60.76,38.33,12.37,1.101218,49.626,744
2024-09,2023–2025,78.31,62.43,36.19,11.78,1.110600,50.897,720
2024-10,2023–2025,86.10,54.33,40.43,12.92,1.090435,51.728,745
2024-11,2023–2025,113.91,47.37,44.71,13.93,1.063014,57.467,720
2024-12,2023–2025,108.32,54.09,45.13,13.86,1.047875,55.622,744
2025-01,2023–2025,114.14,51.81,48.31,14.66,1.035373,59.369,744
2025-02,2023–2025,128.52,44.33,50.27,15.34,1.041250,59.624,672
2025-03,2023–2025,94.73,51.63,41.80,13.24,1.080681,54.594,743
2025-04,2023–2025,77.94,59.52,35.27,11.59,1.121395,50.475,720
2025-05,2023–2025,67.34,69.89,35.28,11.66,1.127805,48.743,744
2025-06,2023–2025,63.99,73.30,36.65,12.37,1.151619,48.998,720
2025-07,2023–2025,87.79,62.88,33.96,11.62,1.167687,49.779,744
2025-08,2023–2025,76.99,66.36,32.71,11.15,1.163143,47.545,744
2025-09,2023–2025,83.51,65.62,32.34,11.12,1.173223,50.655,720
2025-10,2023–2025,84.40,61.62,31.95,10.89,1.163043,54.330,745
2025-11,2023–2025,101.88,49.75,30.76,10.42,1.156020,57.598,720
2025-12,2023–2025,93.47,55.07,27.63,9.48,1.170871,56.861,744
